Wert,Betrag / Satz,Betroffene Seite,Flag,Letzte Änderung um,Prüfen bis,Quelle,Rechtsgrundlage §,Rechtsnatur,Rechtsstand
Kürzungsrecht — nicht verbrauchsabhängig abgerechnet,15 % des Anteils des Nutzers,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__12.html,§ 12 Abs. 1 S. 1 HeizkostenV,Verordnung,07/2026
Durchschnittsnutzer-Vergleichswerte (K13),"Heizspiegel co2online — kommerzielle Verarbeitung nur mit ausdrücklicher Erlaubnis. V1: Online-Verweis nach § 6a Abs. 3 Nr. 4, NUR bei elektronischer Abrechnung und NUR für die Jahresabrechnung.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.heizspiegel.de/heizkosten-pruefen/methodik-heizspiegel/,"§ 6a Abs. 2 Nr. 3, Abs. 3 S. 1 Nr. 4 HeizkostenV",Konvention,07/2026
Emissionsfaktor Heizöl (K4),"0,266 kg CO₂/kWh — nur Fallback",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/ebev_2030/anlage_2.html,"keine Anwendungspflicht — Ersatzwert bei fehlender Lieferantenangabe nach § 3 CO2KostAufG. Wert = Anlage 2 Teil 4 Nr. 3b EBeV 2030 (Gasöl zu Heizzwecken/Heizöl EL: 0,074 t CO₂/GJ × 0,0036 GJ/kWh = 0,2664 kg/kWh).",Konvention,07/2026
Rundungsweg (Seite 01 / docs/03 § 6),"round_half_up, zeilenweise, einmal je gedruckter Zeile — nie auf einem bereits gerundeten Wert","01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21)",verify-before-production,26. Juli 2026 21:27,5. August 2026,,"keine — reine Hauskonvention; beide Wege sind vertretbar, wir binden uns an den, den der Mieter nachrechnen kann. Recherche 27.07.2026: keine externe Quelle vorhanden.",Konvention,07/2026
§ 9a-Schwelle für Schätzungen,25 % der Wohn-/Nutzfläche bzw. des umbauten Raums,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__9a.html,§ 9a Abs. 2 HeizkostenV,Verordnung,07/2026
BEHG CO₂-Preis 2026,"KEIN Einheitspreis 2026: Versteigerung im Preiskorridor 55–65 €/nEZ (= €/t CO₂), anschließende Verkaufsphase ab 03.11.2026 zu 68 €/nEZ, Nachkauf 2027 (bis 31.08.2027) zu 70 €/nEZ. Festpreis 2025 = 55 €/t (maßgeblich für Abrechnungszeiträume 2025).",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,30. September 2026,https://www.dehst.de/DE/Themen/nEHS/Verkauf-Versteigerung/verkauf-versteigerung_artikel.html,"§ 10 Abs. 1 S. 2, Abs. 2 S. 4 BEHG (Korridor 55–65 €); § 12 Abs. 1 BEHV (Mindest-/Höchstgebotspreis), § 14 BEHV (Verkaufsphase 68 €), § 15 BEHV (Nachkauf 2027 70 €). Die Werte 68/70 stehen NICHT im BEHG.",Gesetz,07/2026
Abrechnungsfrist Betriebskosten,"12 Monate nach Ende des Abrechnungszeitraums; danach keine Nachforderung, außer nicht zu vertreten","01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/bgb/__556.html,§ 556 Abs. 3 S. 2–3 BGB,Gesetz,07/2026
Geräteliste auf der Mieterausfertigung (K10),"Gerätenummer · Raum · Stand alt/neu · Bewertungsfaktor · Einheiten — freiwillig, keine Norm verlangt den Einzelausweis je Heizkörper","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,26. Juli 2026 21:27,5. August 2026,https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&nr=81444,"keine; Motiv: BGH VIII ZR 189/17, Urteil v. 07.02.2018 (Darlegungs- und Beweislast für die Richtigkeit der Abrechnung liegt beim Vermieter; umfassendes Belegeinsichtsrecht des Mieters, auch in Verbrauchsdaten anderer Nutzer)",Konvention,07/2026
Zahlungsfrist bei Nachzahlung,"30 Tage — üblich, nicht gesetzlich",01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/bgb/__286.html,keine gesetzliche Frist; Fälligkeit tritt mit Zugang einer ordnungsgemäßen Abrechnung ein. Anknüpfung für die 30 Tage: § 286 Abs. 3 BGB (Verzug 30 Tage nach Fälligkeit und Zugang der Rechnung; gegenüber Verbrauchern nur bei besonderem Hinweis).,Konvention,07/2026
§ 6a Abs. 3 — Pflichtinformationen zur Abrechnung,Energieträgeranteil + THG + Primärenergiefaktor · Steuern/Abgaben/Zölle · Entgelte für Ausstattung/Eichung/Ablesung/Abrechnung · Kontaktdaten · Streitbeilegungshinweis · Durchschnittsnutzer-Vergleich · witterungsbereinigter Vorjahresvergleich in grafischer Form,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 3 S. 1 Nr. 1–5 HeizkostenV,Verordnung,07/2026
Nachrüstfrist fernablesbare Ausstattung,31.12.2026,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",geprüft,26. Juli 2026 21:27,1. Dezember 2026,https://www.gesetze-im-internet.de/heizkostenv/BJNR002610981.html,§ 5 Abs. 2 HeizkostenV,Verordnung,07/2026
Denkmal-/Milieuschutz — Halbierung,"Vermieteranteil × 0,5; Nachweispflicht gegenüber dem Mieter (Abs. 3)",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,"§ 9 Abs. 1, 3 CO2KostAufG",Gesetz,07/2026
Heizwert Heizöl (K7),10 kWh/l; Bewertung mit gewichtetem Durchschnittspreis,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/ebev_2030/anlage_2.html,"§ 9 Abs. 3 S. 3–4 HeizkostenV: primär sind die Hi-Werte der Abrechnungsunterlagen des Lieferanten zu verwenden; fehlen sie, nennt die Tabelle in § 9 Abs. 3 hilfsweise „Leichtes Heizöl extra leichtflüssig 10 kWh je Liter"". Der Wert ist also normiert, nicht frei gewählt. Plausibilisierung über EBeV 2030 Anlage 2 Teil 4 Nr. 3b (Dichte 0,845 t/1000 l × Hi 42,8 GJ/t = 36,17 MJ/l = 10,046 kWh/l).",Verordnung,07/2026
Rechnungsabgrenzung (K8),taggenau linear auf den Abrechnungszeitraum; Deckung < 100 % → nicht wegklickbare Warnung,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,,"keine — reine Hauskonvention. Recherche 27.07.2026: keine externe Quelle vorhanden; die taggenau-lineare Abgrenzung ist Abrechnungspraxis, nicht normiert.",Konvention,07/2026
Leerstand bleibt im Gesamtverteiler,Leerstehende Flächen dürfen nicht herausgerechnet werden — gilt für verbrauchsunabhängige UND verbrauchsabhängige Kosten,"01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.bundesgerichtshof.de/SharedDocs/Entscheidungen/DE/Zivilsenate/VIII_ZS/2005/VIII_ZR_159-05.pdf?__blob=publicationFile&v=1,BGH VIII ZR 159/05 v. 31.05.2006,Rechtsprechung,07/2026
Klimafaktoren DWD (K12),"KF = Gradtage(TRY Potsdam) / Gradtage(Ort); ~8200 PLZ, gleitende 12-Monats-Zeiträume, Aktualisierung ca. 6 Wochen nach Monatsende. Lizenz GeoNutzV, Quellenangabe Pflicht.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.dwd.de/DE/leistungen/klimafaktoren/klimafaktoren.html,§ 6a Abs. 3 S. 3 HeizkostenV i. V. m. § 82 Abs. 3 GEG,Konvention,07/2026
Warmwasser-Ersatzgleichung,"Q = 2,5 × V(m³) × (tw − 10) [kWh/a]",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__9.html,§ 9 Abs. 2 HeizkostenV,Verordnung,07/2026
CO₂-Kürzungsrecht,"3 % der Heizkosten, verschuldensunabhängig","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,§ 7 Abs. 4 CO2KostAufG,Gesetz,07/2026
Verteilungsrest (K9),"Blockbetrag − Σ gerundete Anteile → Eigentümer, ±1 ct je Block","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,26. Juli 2026 21:27,5. August 2026,,"keine — reine Hauskonvention. Recherche 27.07.2026: keine externe Quelle vorhanden, weder Norm noch anerkannte Regel der Technik.",Konvention,07/2026
Grundkostenanteil (K1),"30 % Default, konfigurierbar 30–50 %","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/BJNR002610981.html,"§ 7 Abs. 1, § 8 Abs. 1 HeizkostenV",Konvention,07/2026
Belegeinsicht und Beweislast der Erfassung,Vermieter trägt Darlegungs- und Beweislast für die richtige Erfassung; Mieter darf ohne besonderes Interesse auch die Ablesebelege der anderen Einheiten einsehen; bis dahin keine Zahlungspflicht,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.bundesgerichtshof.de/SharedDocs/Termine/DE/Termine/VIIIZR189.html,BGH VIII ZR 189/17 v. 07.02.2018,Rechtsprechung,07/2026
Einwendungsfrist des Mieters,12 Monate ab Zugang der Abrechnung,"01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/bgb/__556.html,§ 556 Abs. 3 S. 5–6 BGB,Gesetz,07/2026
Verbrauchsabhängiger Anteil — gesetzliche Bandbreite,50–70 % nach Verbrauch,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/BJNR002610981.html,"§ 7 Abs. 1, § 8 Abs. 1 HeizkostenV",Verordnung,07/2026
Kürzungsrecht — fehlende oder unvollständige § 6a-Information (UVI + Abrechnungs-Infoblock),3 %,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",verify-before-production,27. Juli 2026 19:02,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__12.html,§ 12 Abs. 1 S. 3 i. V. m. § 6a HeizkostenV,Verordnung,07/2026
Belegeinsicht — elektronische Bereitstellung zulässig (Wohnraum),Vermieter darf Belege elektronisch bereitstellen (Wohnraum). Gewerberaum: OLG Schleswig lehnt analoge Anwendung ab — dort bleibt es beim Original-Einsichtsrecht.,"01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",geprüft,27. Juli 2026 16:51,5. August 2026,https://www.gesetze-im-internet.de/bgb/__556.html,§ 556 Abs. 4 BGB,Gesetz,07/2026
Verbrauchsvergleich — Umfang und Bereinigung,Der Vergleich umfasst Wärme und Warmwasser. Witterungsbereinigt wird nur der Wärmeverbrauch; Warmwasser wird unbereinigt ausgewiesen.,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,27. Juli 2026 19:16,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 3 S. 2–3 HeizkostenV,Verordnung,07/2026
